id,slug,url,http_status,canonical,robots,html_title,meta_description,h1,h1_count,og_title,og_description,og_image,json_ld_types,json_ld_trip_name,json_ld_trip_description,json_ld_trip_image,visible_word_count,faq_markup_present,faq_count_dom,breadcrumb_markup_present,cta_link_present,broken_internal_links,missing_images,duplicate_title,duplicate_meta,duplicate_h1,canonical_mismatch,hero_dom_note,notes
4a22ea8c-15a2-4b39-b1d2-c7b3d3e32fd7,guangzhou-chaoshan-xiamen-cultural-loop-8-day-tour,https://www.korascale.com/journeys/guangzhou-chaoshan-xiamen-cultural-loop-8-day-tour,200,https://www.korascale.com/journeys/guangzhou-chaoshan-xiamen-cultural-loop-8-day-tour,,"Guangzhou, Chaoshan & Xiamen  Cultural Loop 8-Day Tour | Korascale","Guangzhou begins, Xiamen ends","Guangzhou, Chaoshan & Xiamen  Cultural Loop 8-Day Tour",1,"Guangzhou, Chaoshan & Xiamen  Cultural Loop 8-Day Tour","Guangzhou begins, Xiamen ends",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767336091625-%E4%B8%BB%E5%9B%BE-%E9%BC%93%E6%B5%AA%E5%B1%BF-%E6%A8%AA%E5%9B%BE-BYoPelIP7Z05GUaamn23ttGm6vw8O0.jpeg,BreadcrumbList|Organization|TravelAgency|Trip,"Guangzhou, Chaoshan & Xiamen  Cultural Loop 8-Day Tour","Guangzhou begins, Xiamen ends",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767336091625-%E4%B8%BB%E5%9B%BE-%E9%BC%93%E6%B5%AA%E5%B1%BF-%E6%A8%AA%E5%9B%BE-BYoPelIP7Z05GUaamn23ttGm6vw8O0.jpeg,672,false,0,true,true,,,false,false,false,false,Hero DOM selector unavailable; og:image and DB hero_image_url used as references.,
d2be5f8a-75a3-453a-88e6-a13c8baa70d4,guilin-to-yangshuo-classic-7-day-tour,https://www.korascale.com/journeys/guilin-to-yangshuo-classic-7-day-tour,200,https://www.korascale.com/journeys/guilin-to-yangshuo-classic-7-day-tour,,Guilin to Yangshuo  Classic 7-Day Tour | Korascale,"Guilin begins, Guilin ends",Guilin to Yangshuo  Classic 7-Day Tour,1,Guilin to Yangshuo  Classic 7-Day Tour,"Guilin begins, Guilin ends",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767280379682-%E4%B8%BB%E5%9B%BE-%E6%A1%82%E6%9E%97%E5%B1%B1%E6%B0%B4-%E6%A8%AA%E5%9B%BE-cWIzMKou5RqE2x2ZWYvmqGdEZE6S1g.jpg,BreadcrumbList|Organization|TravelAgency|Trip,Guilin to Yangshuo  Classic 7-Day Tour,"Guilin begins, Guilin ends",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767280379682-%E4%B8%BB%E5%9B%BE-%E6%A1%82%E6%9E%97%E5%B1%B1%E6%B0%B4-%E6%A8%AA%E5%9B%BE-cWIzMKou5RqE2x2ZWYvmqGdEZE6S1g.jpg,1077,false,0,true,true,,,false,false,false,false,Hero DOM selector unavailable; og:image and DB hero_image_url used as references.,
fe99d869-cb67-4ba7-8791-ecdfa38c2701,huangshan-to-huizhou-ancient-villages-6-day-tour,https://www.korascale.com/journeys/huangshan-to-huizhou-ancient-villages-6-day-tour,200,https://www.korascale.com/journeys/huangshan-to-huizhou-ancient-villages-6-day-tour,,Huangshan to Huizhou Ancient Villages 6-Day Tour | Korascale,"Huangshan begins, Huangshan ends",Huangshan to Huizhou Ancient Villages 6-Day Tour,1,Huangshan to Huizhou Ancient Villages 6-Day Tour,"Huangshan begins, Huangshan ends",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767340686645-%E4%B8%BB%E5%9B%BE-%E8%BF%8E%E5%AE%A2%E6%9D%BE-%E6%A8%AA%E5%9B%BE-4FOkmcw5y1HwAvY72Ou2giwRIEIiE4.jpg,BreadcrumbList|Organization|TravelAgency|Trip,Huangshan to Huizhou Ancient Villages 6-Day Tour,"Huangshan begins, Huangshan ends",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767340686645-%E4%B8%BB%E5%9B%BE-%E8%BF%8E%E5%AE%A2%E6%9D%BE-%E6%A8%AA%E5%9B%BE-4FOkmcw5y1HwAvY72Ou2giwRIEIiE4.jpg,1057,false,0,true,true,,,false,false,false,false,Hero DOM selector unavailable; og:image and DB hero_image_url used as references.,
aa64bf32-d48f-4d5a-8bb7-e0e85353de5c,jiuzhaigou-cultural-adventure-4-day-tour,https://www.korascale.com/journeys/jiuzhaigou-cultural-adventure-4-day-tour,200,https://www.korascale.com/journeys/jiuzhaigou-cultural-adventure-4-day-tour,,Jiuzhaigou Cultural & Adventure 4-Day Tour | Korascale,"Chengdu begins, Chengdu ends",Jiuzhaigou Cultural & Adventure 4-Day Tour,1,Jiuzhaigou Cultural & Adventure 4-Day Tour,"Chengdu begins, Chengdu ends",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767714076358-%E4%B8%BB%E5%9B%BE-%E4%B9%9D%E5%AF%A8%E6%B2%9F-%E6%A8%AA%E5%9B%BE-z8k3mNCllKHJa6CARBGLsPC7wPmzDb.jpeg,BreadcrumbList|Organization|TravelAgency|Trip,Jiuzhaigou Cultural & Adventure 4-Day Tour,"Chengdu begins, Chengdu ends",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767714076358-%E4%B8%BB%E5%9B%BE-%E4%B9%9D%E5%AF%A8%E6%B2%9F-%E6%A8%AA%E5%9B%BE-z8k3mNCllKHJa6CARBGLsPC7wPmzDb.jpeg,1066,false,0,true,true,,,false,true,false,false,Hero DOM selector unavailable; og:image and DB hero_image_url used as references.,
062f363b-eabb-493c-a15b-fe769db12ac5,jiuzhaigou-huanglong-by-high-speed-rail-3-day-tour,https://www.korascale.com/journeys/jiuzhaigou-huanglong-by-high-speed-rail-3-day-tour,200,https://www.korascale.com/journeys/jiuzhaigou-huanglong-by-high-speed-rail-3-day-tour,,Jiuzhaigou & Huanglong by High-Speed Rail 3-Day Tour | Korascale Travel | Korascale,"Chengdu begins, Chengdu ends",Jiuzhaigou & Huanglong by High-Speed Rail 3-Day Tour | Korascale Travel,1,Jiuzhaigou & Huanglong by High-Speed Rail 3-Day Tour | Korascale Travel,"Chengdu begins, Chengdu ends",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771753923521-%E4%B8%BB%E5%9B%BE-%E4%B9%9D%E5%AF%A8%E6%B2%9F-%E6%A8%AA%E5%9B%BE-RBIWFJFZDyD8TzHhytYjCAmfndXhda.jpeg,BreadcrumbList|Organization|TravelAgency|Trip,Jiuzhaigou & Huanglong by High-Speed Rail 3-Day Tour | Korascale Travel,"Chengdu begins, Chengdu ends",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771753923521-%E4%B8%BB%E5%9B%BE-%E4%B9%9D%E5%AF%A8%E6%B2%9F-%E6%A8%AA%E5%9B%BE-RBIWFJFZDyD8TzHhytYjCAmfndXhda.jpeg,965,false,0,true,true,,/images/placeholder.jpg,false,true,false,false,Hero DOM selector unavailable; og:image and DB hero_image_url used as references.,
28ae5874-2c8f-4f88-895e-09cb45c36872,leshan-buddha-emei-mountain-2-day-tour,https://www.korascale.com/journeys/leshan-buddha-emei-mountain-2-day-tour,200,https://www.korascale.com/journeys/leshan-buddha-emei-mountain-2-day-tour,,Leshan Buddha & Emei Mountain 2-Day Tour | Korascale Travel | Korascale,"Chengdu begins, Chengdu ends",Leshan Buddha & Emei Mountain 2-Day Tour | Korascale Travel,1,Leshan Buddha & Emei Mountain 2-Day Tour | Korascale Travel,"Chengdu begins, Chengdu ends",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771753037248-%E4%B8%BB%E5%9B%BE-%E5%B3%A8%E7%9C%89%E5%B1%B1-%E6%A8%AA%E5%9B%BE-hLbMBhKWnUFPqpWmBSKQwBxKwyW5n2.png,BreadcrumbList|Organization|TravelAgency|Trip,Leshan Buddha & Emei Mountain 2-Day Tour | Korascale Travel,"Chengdu begins, Chengdu ends",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1771753037248-%E4%B8%BB%E5%9B%BE-%E5%B3%A8%E7%9C%89%E5%B1%B1-%E6%A8%AA%E5%9B%BE-hLbMBhKWnUFPqpWmBSKQwBxKwyW5n2.png,780,false,0,true,true,,/images/placeholder.jpg,false,true,false,false,Hero DOM selector unavailable; og:image and DB hero_image_url used as references.,
43afa024-0a6b-42a4-ab24-b582778ad587,lhasa-holy-lakes-classic-tibet-8-day-tour,https://www.korascale.com/journeys/lhasa-holy-lakes-classic-tibet-8-day-tour,200,https://www.korascale.com/journeys/lhasa-holy-lakes-classic-tibet-8-day-tour,,Lhasa & Holy Lakes  Classic Tibet 8-Day Tour | Korascale,"Lhasa begins, Lhasa ends",Lhasa & Holy Lakes  Classic Tibet 8-Day Tour,1,Lhasa & Holy Lakes  Classic Tibet 8-Day Tour,"Lhasa begins, Lhasa ends",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1768222356636-%E4%B8%BB%E5%9B%BE-%E5%B7%B4%E6%9D%BE%E6%8E%AA-%E6%A8%AA%E5%9B%BE-serMl9dPsgjQRaFlaSJXlkvu4oHyjL.jpeg,BreadcrumbList|Organization|TravelAgency|Trip,Lhasa & Holy Lakes  Classic Tibet 8-Day Tour,"Lhasa begins, Lhasa ends",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1768222356636-%E4%B8%BB%E5%9B%BE-%E5%B7%B4%E6%9D%BE%E6%8E%AA-%E6%A8%AA%E5%9B%BE-serMl9dPsgjQRaFlaSJXlkvu4oHyjL.jpeg,1077,false,0,true,true,,,false,false,false,false,Hero DOM selector unavailable; og:image and DB hero_image_url used as references.,
645c7b01-6a18-4246-91b7-69f1311e9ebc,shanghai-suzhou-classic-dual-city-7-day-tour,https://www.korascale.com/journeys/shanghai-suzhou-classic-dual-city-7-day-tour,200,https://www.korascale.com/journeys/shanghai-suzhou-classic-dual-city-7-day-tour,,Shanghai & Suzhou Classic Dual-City 7-Day  Tour | Korascale,"Shanghai begins, Shanghai ends",Shanghai & Suzhou Classic Dual-City 7-Day  Tour,1,Shanghai & Suzhou Classic Dual-City 7-Day  Tour,"Shanghai begins, Shanghai ends",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767455968109-%E4%B8%BB%E5%9B%BE-%E8%8B%8F%E5%B7%9E-%E6%A8%AA%E5%9B%BE-BaUlNeqFN1L39nd7jshRCvpf2vdRix.jpeg,BreadcrumbList|Organization|TravelAgency|Trip,Shanghai & Suzhou Classic Dual-City 7-Day  Tour,"Shanghai begins, Shanghai ends",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1767455968109-%E4%B8%BB%E5%9B%BE-%E8%8B%8F%E5%B7%9E-%E6%A8%AA%E5%9B%BE-BaUlNeqFN1L39nd7jshRCvpf2vdRix.jpeg,1105,false,0,true,true,,,false,false,false,false,Hero DOM selector unavailable; og:image and DB hero_image_url used as references.,
743d03b7-82a9-4d72-9715-10ee9df9f231,siguniang-mountain-2-day-tour,https://www.korascale.com/journeys/siguniang-mountain-2-day-tour,200,https://www.korascale.com/journeys/siguniang-mountain-2-day-tour,,Siguniang Mountain 2-Day Tour | Korascale Travel | Korascale,"Chengdu begins, Chengdu ends",Siguniang Mountain 2-Day Tour | Korascale Travel,1,Siguniang Mountain 2-Day Tour | Korascale Travel,"Chengdu begins, Chengdu ends",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1765962302332-%E5%9B%9B%E5%A7%91%E5%A8%98%E5%B1%B1%E5%8F%8C%E6%A1%A5%E6%B2%9F%E5%9B%9B%E5%A7%91%E5%A8%9C%E6%8E%AA2-DnmiqcpIYffSIvp9ALSTlj06LneFtk.png,BreadcrumbList|Organization|TravelAgency|Trip,Siguniang Mountain 2-Day Tour | Korascale Travel,"Chengdu begins, Chengdu ends",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1765962302332-%E5%9B%9B%E5%A7%91%E5%A8%98%E5%B1%B1%E5%8F%8C%E6%A1%A5%E6%B2%9F%E5%9B%9B%E5%A7%91%E5%A8%9C%E6%8E%AA2-DnmiqcpIYffSIvp9ALSTlj06LneFtk.png,771,false,0,true,true,,/images/placeholder.jpg,false,true,false,false,Hero DOM selector unavailable; og:image and DB hero_image_url used as references.,
bfd44a68-c631-4e23-950f-f93a7e9231b5,xian-culture-mount-hua-in-depth-4-day-tour,https://www.korascale.com/journeys/xian-culture-mount-hua-in-depth-4-day-tour,200,https://www.korascale.com/journeys/xian-culture-mount-hua-in-depth-4-day-tour,,Xi'an Culture & Mount Hua  In-Depth 4-Day Tour | Korascale,"Xi'an begins, Xi'an ends",Xi'an Culture & Mount Hua  In-Depth 4-Day Tour,1,Xi'an Culture & Mount Hua  In-Depth 4-Day Tour,"Xi'an begins, Xi'an ends",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1766931010118-%E4%B8%BB%E5%9B%BE-%E8%A5%BF%E5%AE%89%E5%9F%8E%E5%A2%99-%E6%A8%AA%E5%9B%BE-NlSHPTNxeOYztmbhrzWZCqvHwWKO6I.jpg,BreadcrumbList|Organization|TravelAgency|Trip,Xi'an Culture & Mount Hua  In-Depth 4-Day Tour,"Xi'an begins, Xi'an ends",https://kbnup6n3k5ja0hg2.public.blob.vercel-storage.com/journeys/1766931010118-%E4%B8%BB%E5%9B%BE-%E8%A5%BF%E5%AE%89%E5%9F%8E%E5%A2%99-%E6%A8%AA%E5%9B%BE-NlSHPTNxeOYztmbhrzWZCqvHwWKO6I.jpg,980,false,0,true,true,,,false,false,false,false,Hero DOM selector unavailable; og:image and DB hero_image_url used as references.,
