journey_id,slug,current_price,currency,price_basis,price_on_request,proposed_action,manual_review_required
06f935af-8ca1-45e0-bdc3-053b94907cf2,xian-terracotta-warriors-tang-paradise-night-tour,186,,,false,manual_review: add currency and price_basis columns after confirmation,true
68262f66-90f9-4f2f-822e-51865bde7967,beijing-imperial-temple-garden-hutongs-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
d5e5c0e9-6549-497a-97a3-4843621da5dc,beijing-to-mutianyu-great-wall-day-tour,217,,,false,manual_review: add currency and price_basis columns after confirmation,true
37f6a3ae-f758-4449-83f5-e036c83f189d,badaling-great-wall-day-tour,217,,,false,manual_review: add currency and price_basis columns after confirmation,true
87788afb-8344-4dbe-92e9-4ad41f660cd5,datong-to-yungang-grottoes-hanging-temple-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
fda690c8-6884-4006-a982-305d20426d00,qingdao-beer-sea-mountains-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
20cb64d6-c2e1-4197-8e78-08e6236d5706,harbin-classic-winter-experience-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
b782a27c-e4c1-4e1b-9a4f-7d01cf71e385,wuhan-historical-architecture-riverfront-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
68b2dbbd-ed87-4cd4-b420-6e282aa2afe6,kunming-city-western-hill-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
490aea2d-6cff-47f4-a9fa-5131ff160d06,fujian-tulou-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
ae4e5fd0-f467-4be2-858c-2ee30242b554,xiamen-city-coastal-highlights-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
9c0864b9-a79d-46c4-800c-ddc4dbab54d5,gulangyu-island-day-tour,1000,,,false,manual_review: add currency and price_basis columns after confirmation,true
